Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2015-02-12,76.23,-0.28,-0.37%,76.86,75.89,76.87,"17,234,976","1,327,596,551.76","42,630,837,641.17"
2015-02-11,76.51,+1.32,+1.76%,75.09,75.03,76.75,"20,877,427","1,600,580,502.42","43,958,434,192.93"
2015-02-10,75.19,+0.75,+1.01%,74.85,74.50,75.34,"15,811,344","1,197,648,662.61","42,357,853,690.51"
2015-02-09,74.44,-0.03,-0.04%,74.05,73.45,74.83,"16,194,322","1,217,104,544.58","41,160,205,027.90"
2015-02-06,74.47,-1.15,-1.51%,75.68,74.25,75.70,"21,210,994","1,608,190,156.85","42,377,309,572.48"
2015-02-05,75.62,-0.02,-0.02%,75.71,75.21,75.98,"15,062,573","1,151,927,085.88","43,985,499,729.33"
2015-02-04,75.63,+0.23,+0.31%,75.09,75.01,76.35,"20,277,368","1,552,542,157.14","45,137,426,815.21"
2015-02-03,75.40,+0.41,+0.55%,75.19,73.86,75.58,"26,957,714","2,032,017,371.14","43,584,884,658.07"
2015-02-02,74.99,-0.92,-1.21%,76.11,73.75,76.14,"41,955,258","3,145,299,898.90","41,552,867,286.92"
2015-01-30,75.91,-2.09,-2.68%,78.00,75.75,78.16,"42,649,491","3,387,628,824.92","44,698,167,185.82"
2015-01-29,78.00,+1.76,+2.31%,76.85,74.21,78.02,"61,293,468","4,818,082,384.57","48,085,796,010.74"
2015-01-28,76.24,+0.46,+0.61%,76.90,76.00,77.64,"53,306,422","4,165,828,160.78","43,267,713,626.17"
2015-01-27,75.78,-1.72,-2.21%,76.71,75.63,76.88,"20,109,977","1,545,631,195.88","39,101,885,465.39"
2015-01-26,77.50,-0.33,-0.43%,77.98,77.29,78.47,"19,260,820","1,513,534,962.60","40,647,516,661.27"
2015-01-23,77.83,+0.18,+0.23%,77.65,77.04,78.19,"16,746,503","1,320,079,666.47","42,161,051,623.88"
2015-01-22,77.65,+0.91,+1.19%,77.17,76.68,77.75,"19,519,458","1,517,417,642.40","40,840,971,957.40"
2015-01-21,76.74,+0.50,+0.66%,76.16,75.85,77.30,"25,096,737","2,020,045,376.81","39,323,554,315.01"
2015-01-20,76.24,+1.06,+1.41%,75.72,74.82,76.31,"22,821,614","1,862,852,575.06","37,303,508,938.20"
2015-01-16,75.18,+1.13,+1.53%,74.04,73.84,75.32,"21,791,529","1,692,631,776.87","35,440,656,363.14"
2015-01-15,74.05,-2.23,-2.92%,76.40,73.54,76.57,"34,133,974","2,560,592,438.40","33,748,024,586.27"
2015-01-14,76.28,-0.17,-0.22%,76.42,76.03,77.20,"25,918,564","2,006,767,281.11","36,308,617,024.66"
2015-01-13,76.45,-0.27,-0.35%,77.23,75.85,78.08,"25,179,561","2,078,650,149.19","38,315,384,305.78"
2015-01-12,76.72,-1.02,-1.31%,77.84,76.21,78.00,"19,190,194","1,578,821,896.54","40,394,034,454.97"
2015-01-09,77.74,-0.44,-0.56%,78.20,77.20,78.62,"21,157,007","1,746,822,889.33","41,972,856,351.51"
2015-01-08,78.18,+2.02,+2.66%,76.74,76.08,78.23,"23,960,953","1,952,269,995.06","43,719,679,240.84"
2015-01-07,76.15,0.00,0.00%,76.76,75.82,77.36,"22,045,333","1,775,250,024.01","41,767,409,245.78"
2015-01-06,76.15,-1.04,-1.35%,77.23,75.37,77.59,"27,399,288","2,103,946,789.19","43,542,659,269.79"
2015-01-05,77.19,-1.26,-1.61%,77.98,76.86,79.25,"26,452,191","2,078,697,088.73","45,646,606,058.98"
2015-01-02,78.45,+0.43,+0.55%,78.58,77.70,78.93,"18,177,475","1,434,438,785.57","47,725,303,147.71"
2014-12-31,78.02,-1.20,-1.51%,79.54,77.86,79.80,"20,040,439","1,585,420,382.87","46,290,864,362.14"
2014-12-30,79.22,-0.80,-1.00%,79.85,79.10,80.59,"14,370,763","1,152,019,444.99","47,876,284,745.00"
2014-12-29,80.02,-0.76,-0.93%,80.49,79.71,80.96,"14,134,666","1,144,596,745.44","49,028,304,189.99"
2014-12-26,80.78,+0.01,+0.01%,81.02,80.51,81.28,"10,647,388","871,354,089.09","50,172,900,935.43"
2014-12-24,80.77,+0.16,+0.20%,81.03,80.75,81.43,"7,685,481","635,100,724.59","49,301,546,846.33"
2014-12-23,80.61,-0.84,-1.03%,82.02,80.40,82.17,"19,865,820","1,628,749,987.14","48,666,446,121.74"
2014-12-22,81.45,+1.57,+1.97%,80.08,80.00,81.89,"31,395,770","2,600,621,064.31","50,295,196,108.88"
2014-12-19,79.88,+1.48,+1.89%,78.75,78.33,80.00,"43,334,992","4,193,173,541.82","47,694,575,044.57"
2014-12-18,78.40,+2.29,+3.01%,76.89,76.51,78.40,"34,222,081","2,779,531,411.19","43,501,401,502.75"
