Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2021-01-11,142.09,-2.09,-1.45%,144.03,141.69,144.31,"3,902,743","555,813,424.03","47,262,299,439.21"
2021-01-08,144.18,+1.71,+1.20%,142.47,141.66,144.40,"4,312,289","618,726,843.84","47,818,112,863.24"
2021-01-07,142.47,-0.46,-0.32%,142.81,141.15,143.15,"4,473,376","636,147,865.13","47,199,386,019.40"
2021-01-06,142.93,-1.77,-1.22%,141.67,141.59,143.60,"4,843,265","691,769,172.14","47,835,533,884.53"
2021-01-05,144.70,+0.43,+0.30%,144.07,142.90,145.18,"4,126,000","595,186,872.16","48,527,303,056.66"
2021-01-04,144.27,-4.03,-2.72%,147.01,141.94,147.78,"7,486,940","1,078,307,551.15","47,932,116,184.50"
2020-12-31,148.30,+0.99,+0.67%,147.48,146.64,148.46,"2,076,825","307,013,641.92","49,010,423,735.65"
2020-12-30,147.31,-0.11,-0.07%,147.47,147.01,147.99,"2,224,859","327,912,642.07","48,703,410,093.73"
2020-12-29,147.42,+0.51,+0.35%,147.68,146.84,148.77,"3,186,688","470,261,536.50","49,031,322,735.80"
2020-12-28,146.91,+1.85,+1.28%,145.78,145.54,147.60,"2,493,497","365,512,325.28","48,561,061,199.30"
2020-12-24,145.06,+0.65,+0.45%,144.83,144.14,145.11,"883,285","127,903,389.21","48,195,548,874.02"
2020-12-23,144.41,+0.39,+0.27%,144.49,144.07,145.60,"2,645,127","382,381,610.68","48,067,645,484.81"
2020-12-22,144.02,-1.38,-0.95%,144.60,143.48,145.00,"2,653,806","382,567,168.91","47,685,263,874.14"
2020-12-21,145.40,-1.53,-1.04%,145.00,143.47,145.66,"3,946,888","572,539,474.80","48,067,831,043.05"
2020-12-18,146.93,+1.22,+0.84%,146.33,145.50,147.10,"8,980,403","1,316,649,641.19","48,640,370,517.85"
2020-12-17,145.71,+0.82,+0.57%,145.25,145.18,146.20,"3,312,453","482,517,934.77","47,323,720,876.66"
2020-12-16,144.89,+0.12,+0.08%,143.98,143.90,145.47,"4,915,809","711,983,245.62","46,841,202,941.89"
2020-12-15,144.77,+0.54,+0.37%,144.56,143.89,145.27,"3,183,783","460,517,998.70","46,129,219,696.27"
2020-12-14,144.23,-0.74,-0.51%,145.25,144.05,146.47,"3,952,380","572,906,613.11","45,668,701,697.57"
2020-12-11,144.97,+0.30,+0.21%,143.63,143.41,145.10,"2,975,473","429,748,117.08","46,241,608,310.68"
2020-12-10,144.67,-1.02,-0.70%,146.04,144.42,146.29,"3,985,022","577,620,372.76","45,811,860,193.60"
2020-12-09,145.69,+0.17,+0.12%,145.56,144.28,146.10,"3,841,971","559,044,016.49","46,389,480,566.37"
2020-12-08,145.52,+0.15,+0.10%,145.33,144.29,146.16,"3,623,756","527,205,939.70","45,830,436,549.88"
2020-12-07,145.37,-0.48,-0.33%,145.68,144.62,146.56,"4,217,416","612,848,925.20","45,303,230,610.18"
2020-12-04,145.85,+1.40,+0.97%,143.87,143.86,145.98,"3,592,561","522,883,616.08","45,916,079,535.38"
2020-12-03,144.45,-0.17,-0.12%,143.02,143.02,144.96,"4,758,137","686,825,021.24","45,393,195,919.30"
2020-12-02,144.62,-1.45,-0.99%,145.88,143.89,146.94,"4,433,005","641,185,952.47","46,080,020,940.54"
2020-12-01,146.07,+1.84,+1.28%,145.03,144.50,146.63,"3,999,578","583,548,954.50","46,721,206,893.01"
2020-11-30,144.23,-0.37,-0.26%,144.46,142.88,144.63,"4,906,898","706,083,537.14","46,137,657,938.50"
2020-11-27,144.60,+0.44,+0.31%,144.62,144.18,145.28,"1,595,978","230,766,801.01","46,843,741,475.64"
2020-11-25,144.16,+0.13,+0.09%,144.45,143.70,144.92,"2,278,398","328,532,717.96","46,612,974,674.63"
2020-11-24,144.03,+1.01,+0.71%,143.19,142.82,144.36,"4,473,522","642,450,671.67","46,284,441,956.68"
2020-11-23,143.02,-0.40,-0.28%,143.31,141.88,143.65,"3,443,855","491,708,847.18","45,641,991,285.01"
2020-11-20,143.42,+0.10,+0.07%,143.65,143.00,144.64,"3,469,179","498,711,304.31","46,133,700,132.19"
2020-11-19,143.32,-0.06,-0.04%,142.88,142.34,143.70,"4,263,568","610,491,792.71","45,634,988,827.87"
2020-11-18,143.38,-1.86,-1.28%,145.49,143.30,146.57,"4,335,257","626,315,261.70","46,245,480,620.58"
2020-11-17,145.24,-0.52,-0.36%,144.27,144.11,146.10,"2,924,071","424,278,992.64","46,871,795,882.29"
2020-11-16,145.76,+1.05,+0.73%,145.00,144.69,146.26,"3,398,971","494,513,140.28","47,296,074,874.93"
2020-11-13,144.71,+0.87,+0.60%,143.77,143.27,144.89,"2,580,479","372,010,181.50","46,801,561,734.65"
2020-11-12,143.84,-0.06,-0.04%,144.25,142.76,144.74,"2,570,479","369,089,288.69","46,429,551,553.15"
2020-11-11,143.90,+2.18,+1.54%,142.86,141.61,144.24,"4,389,762","630,074,810.31","46,798,640,841.85"
2020-11-10,141.72,+3.27,+2.36%,136.99,136.19,142.44,"5,284,513","745,862,340.12","46,168,566,031.54"
2020-11-09,138.45,+0.07,+0.05%,142.00,138.17,143.65,"6,111,302","855,100,271.12","45,422,703,691.42"
2020-11-06,138.38,+0.33,+0.24%,138.56,137.33,139.77,"2,867,077","396,904,740.52","44,567,603,420.30"
2020-11-05,138.05,+0.19,+0.14%,139.35,137.47,140.27,"3,667,806","508,523,963.93","44,170,698,679.78"
2020-11-04,137.86,+0.82,+0.60%,139.00,137.66,141.70,"4,576,320","636,473,241.85","43,662,174,715.85"
2020-11-03,137.04,+1.89,+1.40%,136.62,136.28,138.60,"3,293,928","451,870,039.65","43,025,701,474.01"
2020-11-02,135.15,+1.86,+1.40%,135.61,133.78,136.23,"3,126,408","422,381,397.81","42,573,831,434.35"
2020-10-30,133.29,-0.70,-0.52%,132.93,131.71,133.84,"4,303,971","572,186,920.90","42,151,450,036.54"
2020-10-29,133.99,-0.18,-0.13%,133.76,132.26,135.63,"3,856,469","517,259,806.40","42,723,636,957.44"
2020-10-28,134.17,-4.95,-3.56%,137.15,133.94,137.71,"5,196,038","700,807,234.44","43,240,896,763.84"
2020-10-27,139.12,+1.06,+0.77%,138.57,138.30,139.89,"3,390,825","471,824,529.92","43,941,703,998.29"
2020-10-26,138.06,-1.50,-1.07%,138.74,136.41,139.08,"3,431,215","471,710,942.50","43,469,879,468.37"
2020-10-23,139.56,-0.05,-0.04%,140.22,139.04,140.53,"2,758,507","385,071,798.55","43,941,590,410.87"
2020-10-22,139.61,+0.01,+0.01%,139.80,139.01,140.20,"2,909,227","406,080,044.75","44,326,662,209.42"
2020-10-21,139.60,-0.11,-0.08%,139.68,139.10,140.48,"2,560,061","357,762,114.94","43,920,582,164.67"
2020-10-20,139.71,+0.03,+0.02%,141.00,139.41,141.22,"2,751,622","385,943,211.78","44,278,344,279.61"
2020-10-19,139.68,-2.05,-1.45%,141.34,139.25,142.53,"3,223,384","452,727,692.01","43,892,401,067.84"
2020-10-16,141.73,+0.30,+0.21%,141.75,141.13,142.82,"5,076,139","720,752,786.61","44,345,128,759.84"
2020-10-15,141.43,-1.09,-0.76%,141.16,140.62,141.97,"3,307,718","467,412,732.79","43,624,375,973.23"
2020-10-14,142.52,-1.02,-0.71%,143.55,141.63,144.11,"3,641,327","519,732,372.45","44,091,788,706.02"
2020-10-13,143.54,+1.41,+0.99%,142.22,141.91,144.00,"4,293,198","614,605,741.66","44,611,521,078.47"
2020-10-12,142.13,+3.69,+2.67%,141.12,139.78,143.49,"6,167,150","875,688,172.37","43,996,915,336.81"
2020-10-09,138.44,+0.59,+0.43%,138.70,137.90,139.26,"3,194,022","442,569,693.65","43,121,227,164.44"
2020-10-08,137.85,+0.84,+0.61%,137.28,136.76,138.13,"2,977,598","410,148,599.91","42,678,657,470.80"
2020-10-07,137.01,+1.31,+0.97%,135.94,135.76,137.52,"4,347,287","594,316,183.73","42,268,508,870.88"
2020-10-06,135.70,-2.23,-1.62%,138.00,135.15,138.82,"5,031,019","688,403,610.74","41,674,192,687.15"
2020-10-05,137.93,-0.13,-0.09%,138.11,136.98,138.38,"4,519,821","622,165,303.43","42,362,596,297.89"
2020-10-02,138.06,-2.74,-1.95%,139.28,136.20,139.91,"5,130,582","709,219,363.68","42,984,761,601.32"
2020-10-01,140.80,+2.20,+1.59%,139.44,137.49,140.85,"6,483,894","905,474,037.24","43,693,980,965.00"
2020-09-30,138.60,+1.44,+1.05%,137.99,136.90,139.19,"7,060,713","977,292,226.74","42,788,506,927.76"
2020-09-29,137.16,-0.81,-0.59%,138.66,137.13,139.54,"4,333,805","597,730,577.45","41,811,214,701.02"
2020-09-28,137.97,+4.42,+3.31%,136.04,135.67,138.58,"7,487,509","1,030,443,797.14","42,408,945,278.47"
2020-09-25,133.55,+1.97,+1.50%,130.89,130.52,133.83,"4,575,979","606,712,661.76","41,378,501,481.34"
2020-09-24,131.58,+0.58,+0.44%,131.44,129.92,132.31,"4,316,594","567,472,481.34","40,771,788,819.58"
