Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
2015-02-19,134.32,-0.52,-0.38%,134.53,134.13,135.09,"1,273,712","189,769,481.57","4,708,356,318.13"
2015-02-18,134.83,-0.27,-0.20%,134.77,134.19,135.06,"1,540,979","230,815,133.82","4,898,125,799.70"
2015-02-17,135.11,+0.39,+0.29%,134.62,133.39,135.18,"1,541,495","232,275,540.06","5,128,940,933.52"
2015-02-13,134.71,-0.60,-0.45%,135.75,134.57,136.27,"1,926,835","290,795,009.70","4,896,665,393.47"
2015-02-12,135.32,+0.27,+0.20%,135.55,134.49,135.89,"1,712,183","256,241,995.47","5,187,460,403.17"
2015-02-11,135.04,-0.70,-0.51%,135.89,134.21,135.98,"2,295,846","343,156,620.71","4,931,218,407.70"
2015-02-10,135.74,+0.62,+0.46%,135.53,134.62,135.98,"1,703,408","255,301,091.34","5,274,375,028.41"
2015-02-09,135.12,-1.06,-0.78%,136.18,134.46,136.60,"2,740,244","409,033,805.66","5,019,073,937.06"
2015-02-06,136.18,-0.36,-0.26%,136.65,135.68,137.32,"2,927,362","443,062,248.98","5,428,107,742.72"
2015-02-05,136.54,-1.68,-1.21%,136.91,135.10,138.38,"6,986,697","1,054,539,591.73","5,871,169,991.70"
2015-02-04,138.21,+1.92,+1.41%,134.81,134.80,139.04,"11,006,320","1,719,691,124.46","6,925,709,583.43"
2015-02-03,136.29,+6.87,+5.31%,129.74,128.33,136.41,"10,302,858","1,554,977,107.73","5,206,018,458.97"
2015-02-02,129.42,+2.67,+2.11%,127.65,124.22,129.62,"4,797,524","694,336,151.75","3,651,041,351.25"
2015-01-30,126.75,+2.08,+1.67%,126.84,125.29,127.47,"5,169,025","750,311,205.78","2,956,705,199.49"
2015-01-29,124.67,+0.90,+0.73%,124.24,123.13,124.71,"1,873,432","266,366,825.81","2,206,393,993.72"
2015-01-28,123.76,-1.21,-0.97%,125.52,123.71,126.27,"2,017,027","288,871,432.78","1,940,027,167.91"
2015-01-27,124.98,-1.70,-1.34%,126.54,124.87,126.58,"1,786,867","257,673,534.43","2,228,898,600.69"
2015-01-26,126.67,+0.76,+0.60%,125.57,125.49,126.80,"1,483,318","215,705,206.27","2,486,572,135.12"
2015-01-23,125.92,+0.69,+0.55%,125.51,124.87,126.15,"1,700,402","247,425,521.85","2,270,866,928.84"
2015-01-22,125.23,+1.89,+1.53%,123.66,122.67,125.23,"1,897,527","269,311,140.12","2,023,441,406.99"
2015-01-21,123.34,-0.21,-0.17%,123.08,122.66,123.83,"1,682,887","238,350,266.28","1,754,130,266.87"
2015-01-20,123.55,-0.30,-0.24%,124.74,122.65,125.23,"1,836,793","260,919,252.42","1,992,480,533.15"
2015-01-16,123.85,+0.36,+0.29%,123.25,122.52,124.06,"1,784,806","272,091,703.74","2,253,399,785.57"
2015-01-15,123.49,0.00,0.00%,124.06,122.88,124.25,"1,821,110","257,320,699.88","1,981,308,081.83"
2015-01-14,123.49,-1.58,-1.26%,124.11,122.54,124.29,"2,208,252","311,900,035.25","2,238,628,781.70"
2015-01-13,125.07,-1.27,-1.00%,126.05,124.45,128.01,"2,200,910","318,373,631.29","2,550,528,816.95"
2015-01-12,126.33,-0.71,-0.56%,127.27,125.98,127.79,"1,344,803","194,376,001.31","2,868,902,448.24"
2015-01-09,127.04,-1.99,-1.54%,128.07,126.95,128.58,"1,727,049","256,690,212.82","3,063,278,449.55"
2015-01-08,129.03,+1.10,+0.86%,129.03,128.48,129.51,"2,937,674","432,962,984.46","3,319,968,662.37"
2015-01-07,127.93,+2.19,+1.74%,126.40,126.19,128.03,"2,171,551","316,877,868.03","2,887,005,677.91"
2015-01-06,125.74,+1.64,+1.32%,124.64,123.97,126.71,"3,187,950","455,276,329.60","2,570,127,809.88"
2015-01-05,124.10,-1.43,-1.14%,125.60,123.92,126.01,"1,751,693","250,992,583.84","2,114,851,480.28"
2015-01-02,125.53,-0.12,-0.10%,125.76,124.82,126.89,"1,471,736","214,626,450.21","2,365,844,064.12"
2014-12-31,125.65,-1.54,-1.21%,127.19,125.60,127.76,"1,485,064","214,310,056.39","2,580,470,514.32"
2014-12-30,127.19,+0.13,+0.10%,126.76,126.76,127.73,"1,158,803","169,573,486.60","2,794,780,570.71"
2014-12-29,127.06,-0.09,-0.07%,127.07,126.53,127.51,"1,364,395","199,442,585.49","2,625,207,084.11"
2014-12-26,127.15,-0.19,-0.15%,127.30,126.83,127.53,"1,233,068","179,738,987.48","2,824,649,669.60"
2014-12-24,127.34,-0.44,-0.35%,128.14,127.29,128.41,"738,668","109,314,000.94","3,004,388,657.08"
2014-12-23,127.78,+0.83,+0.66%,128.12,127.35,128.51,"1,464,516","217,433,779.23","3,113,702,658.01"
2014-12-22,126.95,+1.28,+1.02%,126.17,125.74,127.00,"1,776,902","257,791,091.79","2,896,268,878.78"
2014-12-19,125.67,+0.19,+0.15%,125.43,125.28,126.32,"4,029,974","702,312,251.90","2,638,477,786.99"
2014-12-18,125.48,+1.98,+1.60%,124.26,123.47,125.48,"2,903,401","414,244,985.36","1,936,165,535.08"
2014-12-17,123.51,+1.79,+1.47%,121.72,121.25,123.76,"2,428,540","339,597,750.04","1,521,920,549.72"
2014-12-16,121.72,-0.78,-0.64%,122.80,121.04,123.48,"2,470,072","346,255,515.18","1,182,322,799.68"
2014-12-15,122.50,+0.27,+0.22%,122.90,121.49,123.66,"2,456,713","345,997,263.13","1,528,578,314.86"
2014-12-12,122.22,-3.13,-2.50%,124.09,122.18,125.31,"3,672,019","520,080,679.37","1,182,581,051.73"
2014-12-11,125.35,+1.03,+0.83%,125.07,124.69,126.48,"2,401,295","347,256,210.18","1,702,661,731.10"
2014-12-10,124.32,-2.47,-1.95%,128.48,123.57,130.15,"4,919,143","707,282,215.44","1,355,405,520.92"
2014-12-09,126.79,+0.63,+0.50%,125.99,124.88,126.87,"2,094,901","302,417,813.94","2,062,687,736.37"
2014-12-08,126.17,-0.82,-0.64%,126.80,125.83,126.80,"1,946,175","282,940,057.03","1,760,269,922.43"
2014-12-05,126.98,+0.20,+0.16%,126.92,125.84,127.03,"1,198,018","176,192,048.90","2,043,209,979.46"
2014-12-04,126.78,+0.29,+0.23%,127.19,125.89,127.19,"1,324,093","192,938,103.12","1,867,017,930.56"
2014-12-03,126.48,-0.33,-0.26%,126.74,125.85,127.03,"1,795,877","260,202,808.92","1,674,079,827.44"
2014-12-02,126.81,+0.96,+0.76%,126.25,125.66,127.07,"1,765,406","255,736,794.47","1,934,282,636.35"
2014-12-01,125.85,-0.12,-0.10%,127.04,125.23,127.04,"1,952,149","285,121,690.17","1,678,545,841.89"
2014-11-28,125.98,+2.10,+1.70%,125.25,124.37,126.73,"1,442,598","214,143,269.86","1,963,667,532.06"
2014-11-26,123.88,+0.78,+0.63%,123.66,123.25,124.88,"1,631,937","232,371,442.29","1,749,524,262.20"
2014-11-25,123.10,-0.82,-0.67%,124.19,122.98,124.41,"1,865,793","263,114,897.08","1,517,152,819.90"
2014-11-24,123.92,+0.07,+0.06%,123.51,123.38,124.09,"1,645,815","234,919,432.54","1,780,267,716.98"
2014-11-21,123.85,+0.42,+0.34%,124.81,123.42,124.84,"1,849,219","292,842,661.17","1,545,348,284.44"
2014-11-20,123.43,-0.67,-0.54%,123.27,123.23,124.11,"1,518,294","216,260,460.97","1,252,505,623.27"
2014-11-19,124.11,+0.71,+0.57%,123.29,123.29,124.23,"1,362,597","193,696,912.93","1,468,766,084.24"
2014-11-18,123.40,+0.66,+0.53%,122.75,122.36,123.51,"1,574,757","221,679,678.63","1,275,069,171.31"
2014-11-17,122.74,-0.01,-0.01%,121.63,121.63,122.77,"1,228,116","173,444,764.09","1,053,389,492.68"
2014-11-14,122.75,-0.20,-0.17%,123.15,122.39,123.15,"1,598,624","227,306,091.92","1,226,834,256.76"
2014-11-13,122.96,+1.60,+1.32%,122.01,121.74,123.00,"2,235,941","313,454,897.93","1,454,140,348.68"
2014-11-12,121.35,-0.13,-0.11%,121.17,120.69,121.75,"1,910,222","265,229,192.29","1,140,685,450.76"
2014-11-11,121.48,-0.57,-0.46%,122.13,121.14,122.28,"1,495,574","207,944,142.96","1,405,914,643.05"
2014-11-10,122.05,-0.02,-0.01%,122.19,120.54,122.23,"1,958,039","272,191,911.50","1,613,858,786.00"
2014-11-07,122.07,+0.55,+0.45%,121.48,121.02,122.25,"1,589,448","225,432,739.65","1,886,050,697.50"
2014-11-06,121.52,+0.52,+0.43%,121.79,121.09,122.03,"1,685,940","235,676,414.00","1,660,617,957.85"
2014-11-05,121.00,-0.04,-0.04%,121.87,120.58,122.16,"2,116,797","294,838,588.97","1,424,941,543.85"
2014-11-04,121.04,+2.02,+1.70%,119.32,118.77,121.19,"2,802,823","384,501,910.95","1,719,780,132.83"
2014-11-03,119.02,+0.80,+0.67%,118.62,118.22,119.04,"1,949,226","264,231,830.92","1,335,278,221.87"
2014-10-31,118.22,+0.33,+0.28%,119.18,117.64,119.22,"2,373,896","326,154,639.23","1,071,046,390.95"
2014-10-30,117.89,+0.95,+0.81%,116.57,116.41,118.17,"1,302,063","175,490,043.56","744,891,751.72"
2014-10-29,116.95,+0.77,+0.66%,116.38,116.06,117.01,"1,705,814","228,475,347.88","569,401,708.16"
2014-10-28,116.18,+0.12,+0.11%,116.10,115.38,116.57,"1,439,800","193,290,035.43","340,926,360.28"
2014-10-27,116.05,+0.43,+0.37%,114.56,114.56,116.35,"1,629,582","225,058,753.79","147,636,324.85"
2014-10-24,115.63,-0.13,-0.11%,113.98,113.96,115.71,"2,490,256","355,521,251.18","-77,422,428.94"
2014-10-23,115.76,+0.04,+0.04%,116.15,115.55,116.55,"1,763,755","234,307,444.89","278,098,822.25"
2014-10-22,115.71,+0.23,+0.20%,115.73,115.52,116.64,"1,879,960","249,078,381.00","43,791,377.35"
2014-10-21,115.48,+1.65,+1.45%,114.30,113.61,115.81,"2,105,624","279,292,985.86","-205,287,003.65"
2014-10-20,113.83,+3.34,+3.02%,110.65,110.49,114.23,"3,506,170","451,380,067.59","-484,579,989.51"
2014-10-17,110.49,+1.51,+1.38%,109.71,109.19,111.47,"3,199,186","423,196,804.81","-935,960,057.10"
2014-10-16,108.99,-1.20,-1.09%,108.75,108.19,109.78,"3,543,012","442,240,287.23","-1,359,156,861.90"
2014-10-15,110.18,-1.73,-1.54%,110.89,109.28,111.42,"3,784,798","474,520,782.58","-916,916,574.67"
2014-10-14,111.91,-0.64,-0.57%,113.02,111.04,113.44,"4,003,560","509,150,032.24","-442,395,792.09"
2014-10-13,112.55,-1.71,-1.50%,113.97,112.48,114.22,"2,446,184","317,933,725.69","66,754,240.15"
2014-10-10,114.26,+0.43,+0.38%,113.69,113.69,116.49,"3,353,581","442,605,025.84","384,687,965.84"
2014-10-09,113.83,-0.28,-0.25%,113.66,113.63,115.89,"2,963,699","389,626,704.54","-57,917,060.00"
2014-10-08,114.11,+3.07,+2.76%,113.64,112.72,114.30,"4,266,976","551,632,461.22","331,709,644.54"
2014-10-07,111.04,-0.83,-0.74%,111.11,110.58,111.54,"2,335,221","296,151,349.34","-219,922,816.69"
2014-10-06,111.88,-0.78,-0.69%,113.07,111.63,113.17,"1,907,467","243,252,338.74","76,228,532.65"
2014-10-03,112.66,+1.15,+1.03%,111.87,111.70,113.15,"1,770,671","230,704,989.13","319,480,871.39"
2014-10-02,111.50,+0.91,+0.83%,110.79,110.64,111.88,"1,545,842","196,756,099.28","88,775,882.26"
2014-10-01,110.59,-0.50,-0.45%,111.02,110.32,111.41,"1,411,317","179,554,685.92","-107,980,217.02"
2014-09-30,111.09,0.00,0.00%,110.68,110.60,111.34,"1,666,455","212,293,161.20","71,574,468.90"
2014-09-29,111.09,-0.20,-0.18%,110.83,110.61,111.34,"1,170,981","149,369,324.04","283,867,630.10"
2014-09-26,111.28,-0.11,-0.10%,111.17,110.25,111.40,"2,045,330","261,464,538.73","433,236,954.14"
2014-09-25,111.39,-1.74,-1.54%,112.98,111.34,113.06,"1,819,936","232,304,044.20","694,701,492.87"
2014-09-24,113.13,+1.87,+1.68%,111.77,111.32,113.27,"2,076,388","266,230,999.15","927,005,537.07"
2014-09-23,111.26,-0.28,-0.25%,111.65,110.99,111.68,"1,563,097","200,836,918.72","660,774,537.92"
2014-09-22,111.54,-0.59,-0.53%,112.02,111.32,112.13,"1,453,733","186,181,773.50","861,611,456.65"
